unique_id,ds,y
s1,2020-01-01,100.3
s1,2020-01-02,103.37
s1,2020-01-03,106.63
s1,2020-01-04,104.61
s1,2020-01-05,97.88
s1,2020-01-06,96.32
s1,2020-01-07,99.22
s1,2020-01-08,103.18
s1,2020-01-09,107.89
s1,2020-01-10,108.52
s1,2020-01-11,108.05
s1,2020-01-12,104.11
s1,2020-01-13,101.19
s1,2020-01-14,103.72
s1,2020-01-15,107.47
s1,2020-01-16,110.55
s1,2020-01-17,113.24
s1,2020-01-18,109.71
s1,2020-01-19,107.71
s1,2020-01-20,104.58
s1,2020-01-21,105.91
s1,2020-01-22,109.82
s1,2020-01-23,116.13
s1,2020-01-24,116.22
s1,2020-01-25,113.74
s1,2020-01-26,109.98
s1,2020-01-27,108.66
s1,2020-01-28,109.96
s1,2020-01-29,114.41
s1,2020-01-30,118.84
s1,2020-01-31,122.02
s1,2020-02-01,117.26
s1,2020-02-02,113.32
s1,2020-02-03,110.81
s1,2020-02-04,113.71
s1,2020-02-05,118.63
s1,2020-02-06,121.8
s1,2020-02-07,122.53
s1,2020-02-08,120.34
s1,2020-02-09,117.98
s1,2020-02-10,115.87
s1,2020-02-11,117.13
s1,2020-02-12,120.33
s1,2020-02-13,125.64
s1,2020-02-14,126.99
s1,2020-02-15,124.89
s1,2020-02-16,121.7
s1,2020-02-17,118.85
s1,2020-02-18,120.77
s1,2020-02-19,124.57
s1,2020-02-20,129.2
s1,2020-02-21,131.01
s1,2020-02-22,126.71
s1,2020-02-23,124.01
s1,2020-02-24,121.65
s1,2020-02-25,122.95
s1,2020-02-26,127.72
s1,2020-02-27,133.9
s1,2020-02-28,133.01
s1,2020-02-29,132.64
s2,2020-01-01,198.32
s2,2020-01-02,204.07
s2,2020-01-03,206.04
s2,2020-01-04,204.26
s2,2020-01-05,200.54
s2,2020-01-06,198.42
s2,2020-01-07,198.74
s2,2020-01-08,203.04
s2,2020-01-09,208.77
s2,2020-01-10,209.18
s2,2020-01-11,205.89
s2,2020-01-12,202.2
s2,2020-01-13,200.21
s2,2020-01-14,203.09
s2,2020-01-15,207.14
s2,2020-01-16,212.1
s2,2020-01-17,212.45
s2,2020-01-18,210.83
s2,2020-01-19,207.46
s2,2020-01-20,204.32
s2,2020-01-21,206.55
s2,2020-01-22,209.84
s2,2020-01-23,214.55
s2,2020-01-24,215.99
s2,2020-01-25,212.97
s2,2020-01-26,210.82
s2,2020-01-27,207.66
s2,2020-01-28,209.6
s2,2020-01-29,214.48
s2,2020-01-30,218.86
s2,2020-01-31,220.54
s2,2020-02-01,217.57
s2,2020-02-02,213.41
s2,2020-02-03,211.55
s2,2020-02-04,211.4
s2,2020-02-05,216.05
s2,2020-02-06,220.59
s2,2020-02-07,222.38
s2,2020-02-08,221.57
s2,2020-02-09,216.43
s2,2020-02-10,214.75
s2,2020-02-11,217.89
s2,2020-02-12,220.64
s2,2020-02-13,226.15
s2,2020-02-14,225.94
s2,2020-02-15,224.46
s2,2020-02-16,219.88
s2,2020-02-17,218.29
s2,2020-02-18,220.93
s2,2020-02-19,222.77
s2,2020-02-20,229.34
s2,2020-02-21,230.61
s2,2020-02-22,227.58
s2,2020-02-23,222.88
s2,2020-02-24,222.2
s2,2020-02-25,223.06
s2,2020-02-26,228.23
s2,2020-02-27,232.43
s2,2020-02-28,235.48
s2,2020-02-29,231.43
